number,value,datetime_start,datetime_complete,duration,params_alpha,params_aug_mult,params_batch_size,params_hidden_sizes,params_label_mode,params_lam_high,params_lam_low,params_lr,params_n_epochs,params_p_apply,system_attrs_fixed_params,state
18,0.16059611340108196,2025-09-27 23:37:04.360968,2025-09-27 23:39:37.613590,0 days 00:02:33.252622,0.4,1.0,768.0,"[512, 256, 256, 128]",hard,0.8,0.2,0.006430840367031076,500.0,1.0,"{'hidden_sizes': [512, 256, 256, 128], 'lr': 0.006430840367031076, 'batch_size': 768, 'n_epochs': 500, 'aug_mult': 1.0, 'alpha': 0.4, 'lam_low': 0.2, 'lam_high': 0.8, 'p_apply': 1.0, 'label_mode': 'hard'}",PRUNED
19,0.33844140869337114,2025-09-27 23:39:37.944877,2025-09-27 23:51:45.275686,0 days 00:12:07.330809,0.2006106066817183,0.0,768.0,"[512, 512, 256, 256]",hard,0.7422077322997337,0.23524538213896365,0.0010369610182343282,500.0,0.9109026141251146,,PRUNED
20,0.1608459732964511,2025-09-27 23:51:45.616392,2025-09-27 23:52:52.204014,0 days 00:01:06.587622,0.29883858796585827,0.0,768.0,"[512, 256, 256, 128]",soft,0.7520932987225559,0.45733861913179097,0.01326422645850751,500.0,0.9255961215304424,,PRUNED
21,0.38719683183534936,2025-09-27 23:52:52.524728,2025-09-28 00:05:18.301296,0 days 00:12:25.776568,0.6961136939005637,0.0,768.0,"[768, 512, 256, 256]",hard,0.7129103379299666,0.35574141847671786,0.003305850584686751,500.0,0.8418191772363088,,PRUNED
22,0.510843082738158,2025-09-28 00:05:18.627591,2025-09-28 00:30:26.605252,0 days 00:25:07.977661,0.3090328476539743,0.0,256.0,"[512, 512, 256, 256]",hard,0.5831243238833599,0.23562629718264613,0.010910290593035953,500.0,0.7386213616342814,,PRUNED
23,0.16095263240475802,2025-09-28 00:30:26.937064,2025-09-28 00:33:40.055896,0 days 00:03:13.118832,0.49050628445037603,2.0,512.0,"[512, 256, 256, 128]",hard,0.6604166149087002,0.3092757758722765,0.004327800039645688,400.0,0.6372015154511205,,PRUNED
24,0.43170632955351346,2025-09-28 00:33:40.454235,2025-09-28 00:50:52.226645,0 days 00:17:11.772410,0.5393827235778772,0.5,512.0,"[512, 256, 256, 128]",hard,0.7663774679047982,0.2911786672533368,0.005086116656014392,400.0,0.7462706053909425,,PRUNED
25,0.16059777670120012,2025-09-28 00:50:52.580023,2025-09-28 00:54:10.777438,0 days 00:03:18.197415,0.4601772075896379,0.0,768.0,"[512, 256, 256, 128]",hard,0.7088858988605373,0.3908327136161316,0.0024025577457451883,600.0,0.5010741162841987,,PRUNED
26,0.8831248753413303,2025-09-28 00:54:11.109894,2025-09-28 01:16:17.009147,0 days 00:22:05.899253,0.7125896674738135,0.0,768.0,"[512, 256, 256, 128]",hard,0.6509364448835421,0.235186160504259,0.009157087897053919,500.0,0.940026996550021,,COMPLETE
27,0.16049314144923668,2025-09-28 01:16:17.361794,2025-09-28 01:17:27.775027,0 days 00:01:10.413233,0.7546967797925589,0.0,768.0,"[768, 512, 256, 128]",hard,0.5000197348946452,0.22498190521891845,0.009103402042905825,500.0,0.9398088092982309,,PRUNED
28,0.1608902372514073,2025-09-28 01:17:28.213371,2025-09-28 01:20:22.734574,0 days 00:02:54.521203,0.7150292335482064,0.0,768.0,"[512, 256, 256, 128]",soft,0.646178372054241,0.25828367983941797,0.0014686075919250027,500.0,0.8853392964185285,,PRUNED
29,0.16066523287458537,2025-09-28 01:20:23.053179,2025-09-28 01:21:29.451625,0 days 00:01:06.398446,0.8855978994215464,0.0,768.0,"[512, 256, 256, 128]",hard,0.7717794034169668,0.221749235845508,0.011764986968674522,500.0,0.9522235534644585,,PRUNED
30,0.16020361551113643,2025-09-28 01:21:29.780282,2025-09-28 01:24:32.080419,0 days 00:03:02.300137,0.65764224054189,0.0,768.0,"[512, 256, 256, 128]",hard,0.5807134009274295,0.24528616294839312,0.0009720763373218557,500.0,0.8497516428822042,,PRUNED
31,0.16089319572133126,2025-09-28 01:24:32.400419,2025-09-28 01:26:59.873246,0 days 00:02:27.472827,0.349210360895403,1.0,768.0,"[512, 256, 256, 128]",hard,0.7080105219073013,0.21396023292317884,0.007384296828274396,500.0,0.9777363891325688,,PRUNED
32,0.15960476180235655,2025-09-28 01:27:00.188859,2025-09-28 01:28:06.882873,0 days 00:01:06.694014,0.8352348030992577,0.0,768.0,"[768, 512, 256, 256]",hard,0.7873587678757508,0.2784888473218595,0.014135373338723889,500.0,0.9143419402800068,,PRUNED
33,0.16009403508478778,2025-09-28 01:28:07.210577,2025-09-28 01:31:07.812066,0 days 00:03:00.601489,0.5603164935692482,2.0,512.0,"[512, 256, 256, 128]",hard,0.6688213902569058,0.3316461403119014,0.004873786831905797,400.0,0.7831098392386986,,PRUNED
34,0.16093300855109688,2025-09-28 01:31:08.121865,2025-09-28 01:34:16.276904,0 days 00:03:08.155039,0.42987256901832005,1.0,256.0,"[512, 256, 256, 128]",hard,0.6185837875593893,0.20211636034318864,0.007335800941101242,500.0,0.9913799551410011,,PRUNED
